Idade,RendaAnual,NumeroCompras,ComprouRecente,CategoriaCliente
26,93698,1,Não,Regular
25,25415,3,Não,Premium
29,56159,26,Sim,Regular
51,63925,8,Não,Regular
50,25951,4,Sim,Regular
65,107388,16,Sim,Regular
40,28007,23,Não,Regular
41,61832,10,Sim,Regular
54,78596,12,Não,Regular
52,50523,14,Sim,Premium
61,108861,14,Sim,Premium
57,106740,2,Sim,Regular
39,35524,23,Não,Premium
44,39282,5,Não,Premium
52,43930,5,Sim,Regular
18,20077,6,Sim,Premium
52,40611,13,Não,Regular
54,36984,9,Não,Regular
64,34060,22,Sim,Regular
31,102985,28,Sim,Premium
20,104056,29,Não,Premium
18,63303,15,Não,Premium
22,79207,14,Não,Premium
43,95046,24,Não,Regular
31,49287,7,Não,Regular
56,113709,25,Sim,Premium
44,59711,20,Não,Regular
26,31954,2,Sim,Regular
32,93340,7,Não,Premium
32,92101,6,Sim,Regular
43,91520,17,Não,Premium
59,107062,27,Não,Regular
30,38574,25,Sim,Premium
68,29184,25,Sim,Regular
49,39096,28,Não,Regular
56,87728,2,Não,Premium
66,54016,3,Não,Premium
69,31246,5,Não,Premium
49,65558,5,Não,Premium
21,38381,1,Sim,Regular
47,56455,8,Sim,Regular
54,112263,12,Não,Premium
40,24018,24,Sim,Regular
56,31302,4,Sim,Premium
62,87506,13,Sim,Premium
32,61157,23,Não,Regular
60,74917,15,Sim,Regular
46,112738,11,Não,Premium
53,116646,10,Sim,Premium
30,103122,3,Não,Premium
49,44519,22,Sim,Regular
24,116809,14,Não,Regular
68,107487,16,Não,Regular
39,76819,10,Sim,Regular
45,100910,29,Não,Premium
19,91324,10,Não,Premium
59,25408,12,Não,Premium
62,79379,9,Não,Premium
23,45053,1,Não,Premium
45,29446,5,Não,Premium
45,20922,20,Não,Regular
61,118723,8,Não,Regular
61,71356,11,Sim,Premium
37,30789,12,Sim,Premium
47,117720,1,Não,Regular
28,86656,25,Não,Regular
45,64028,22,Sim,Regular
42,84484,20,Sim,Regular
56,52154,28,Sim,Premium
50,102870,25,Não,Premium
18,22336,11,Sim,Premium
44,87779,5,Não,Premium
69,39029,15,Não,Premium
30,79201,5,Sim,Regular
58,52265,12,Não,Premium
20,63872,5,Não,Regular
56,66197,17,Não,Premium
23,75180,17,Não,Premium
25,43710,24,Sim,Premium
44,49486,12,Sim,Premium
26,91907,24,Não,Premium
54,91895,28,Não,Regular
50,84435,15,Sim,Regular
68,60631,15,Não,Regular
59,40103,6,Sim,Premium
61,84772,12,Não,Premium
41,34382,27,Não,Regular
32,104291,29,Sim,Premium
49,23756,20,Sim,Premium
49,40609,18,Sim,Regular
41,36478,14,Sim,Premium
58,59666,2,Não,Regular
69,95683,9,Sim,Premium
66,119097,5,Não,Regular
66,91315,20,Sim,Premium
69,97834,26,Sim,Premium
29,34153,29,Não,Regular
56,96325,1,Sim,Premium
19,32999,23,Sim,Premium
20,75318,3,Sim,Regular
66,20814,6,Sim,Premium
54,96077,5,Não,Regular
66,110474,21,Não,Premium
34,22443,27,Sim,Premium
66,95993,5,Sim,Premium
19,95916,1,Sim,Premium
19,93319,17,Não,Regular
45,37368,19,Não,Premium
40,35328,14,Não,Regular
54,76942,12,Não,Premium
49,111751,10,Sim,Premium
50,119131,20,Sim,Premium
18,47306,21,Sim,Premium
36,105451,18,Não,Regular
19,59915,24,Sim,Regular
61,57219,27,Não,Regular
43,100879,11,Não,Regular
49,84644,2,Sim,Premium
23,80279,25,Sim,Regular
49,73028,18,Sim,Regular
21,20126,29,Não,Premium
28,72329,25,Não,Premium
34,47632,7,Sim,Premium
55,85310,24,Sim,Premium
41,75176,15,Não,Regular
22,106066,11,Sim,Regular
69,64327,18,Não,Premium
51,88904,23,Não,Premium
23,23797,12,Sim,Premium
39,67882,6,Sim,Regular
28,33718,20,Sim,Regular
65,54560,23,Sim,Premium
33,96589,13,Não,Premium
50,42116,20,Não,Regular
26,56244,16,Não,Premium
23,21645,18,Sim,Premium
33,67523,10,Não,Regular
46,39256,28,Sim,Premium
20,73173,23,Sim,Regular
37,57430,8,Sim,Premium
53,59282,18,Sim,Premium
36,83374,21,Sim,Regular
43,88244,1,Sim,Regular
20,31694,23,Não,Premium
36,76264,8,Sim,Regular
37,95060,29,Não,Premium
49,117416,6,Não,Premium
24,77545,5,Sim,Regular
69,59224,15,Sim,Premium
58,117945,22,Sim,Premium
50,33224,15,Não,Regular
57,60738,2,Sim,Regular
56,45150,1,Não,Premium
35,83731,23,Sim,Regular
57,69688,23,Sim,Regular
18,119929,26,Não,Regular
28,93509,11,Não,Regular
45,28577,10,Sim,Premium
42,28070,18,Não,Premium
67,28666,18,Não,Premium
40,77761,17,Não,Regular
48,56368,26,Não,Regular
47,26783,8,Não,Regular
59,61914,15,Sim,Regular
52,90507,8,Sim,Regular
24,99026,17,Não,Regular
33,87526,12,Sim,Regular
43,90835,27,Sim,Premium
65,65765,8,Não,Premium
69,39956,25,Sim,Regular
66,107895,14,Não,Regular
19,66240,4,Não,Regular
18,57148,1,Sim,Premium
65,114270,1,Não,Premium
29,24757,19,Não,Regular
22,39097,16,Não,Regular
54,30395,14,Não,Premium
49,36241,21,Não,Premium
26,47696,16,Sim,Premium
58,90480,5,Sim,Premium
52,66163,9,Não,Regular
36,39816,26,Não,Premium
65,69840,28,Sim,Premium
33,72853,2,Não,Regular
20,44917,18,Sim,Premium
37,116731,6,Não,Premium
41,41566,9,Não,Premium
50,95452,1,Não,Regular
41,82823,9,Não,Premium
69,40806,25,Não,Regular
28,95520,16,Não,Regular
66,21759,13,Não,Premium
25,61949,9,Sim,Premium
53,112374,21,Sim,Premium
55,22482,13,Sim,Premium
57,44442,9,Não,Regular
37,53719,11,Não,Premium
52,78066,4,Não,Premium
65,113501,2,Não,Premium
42,22079,29,Não,Regular
52,22717,6,Não,Premium
42,79676,14,Não,Premium
46,47952,4,Sim,Regular
35,106444,6,Não,Regular
63,62460,19,Sim,Premium
35,110397,6,Sim,Premium
19,92847,2,Não,Premium
52,113607,18,Não,Premium
33,109106,13,Sim,Premium
58,38449,9,Sim,Regular
53,53536,23,Não,Regular
50,84077,19,Não,Premium
21,58258,13,Sim,Premium
50,68302,11,Não,Regular
31,48865,1,Não,Premium
38,26645,24,Não,Premium
65,58000,22,Sim,Premium
37,46737,7,Sim,Premium
25,31485,25,Sim,Premium
24,58565,21,Não,Regular
20,45522,15,Não,Premium
34,85155,1,Sim,Premium
50,75168,12,Sim,Premium
65,72487,26,Sim,Regular
29,32342,7,Não,Regular
68,60806,15,Sim,Regular
39,68770,21,Sim,Regular
39,98623,19,Não,Premium
63,119785,28,Não,Regular
47,95629,29,Não,Premium
55,72603,25,Sim,Premium
55,101974,1,Não,Regular
62,46399,17,Não,Regular
68,105382,17,Sim,Regular
25,101244,3,Não,Regular
44,96534,12,Sim,Regular
44,75106,6,Sim,Premium
51,50678,26,Não,Regular
38,96218,11,Não,Regular
47,83230,3,Não,Regular
50,94055,8,Não,Premium
45,76373,14,Não,Regular
64,51480,14,Não,Premium
50,105230,10,Sim,Regular
22,88836,2,Sim,Regular
65,92258,14,Não,Premium
36,59986,9,Sim,Regular
21,44160,3,Não,Premium
52,105595,21,Sim,Premium
66,99111,26,Sim,Premium
34,84929,8,Sim,Regular
61,93506,16,Não,Regular
45,54911,2,Sim,Regular
47,107127,6,Não,Premium
46,51821,28,Sim,Regular
63,95039,21,Sim,Premium
23,80535,29,Sim,Regular
52,104458,26,Sim,Premium
58,32175,25,Sim,Premium
54,74771,12,Não,Premium
41,106925,5,Não,Regular
46,86358,2,Sim,Premium
66,37327,16,Sim,Premium
63,67057,5,Sim,Premium
48,26150,15,Sim,Premium
52,24425,12,Não,Premium
50,36032,4,Sim,Premium
69,22198,15,Não,Regular
38,80500,11,Sim,Regular
49,73394,16,Não,Premium
40,40079,23,Sim,Regular
50,56220,6,Sim,Regular
20,61874,14,Não,Premium
35,33859,18,Sim,Premium
42,70460,12,Sim,Premium
59,51419,27,Sim,Regular
48,28705,11,Não,Premium
20,62880,13,Sim,Regular
57,43236,21,Sim,Premium
63,107955,23,Não,Regular
41,105514,11,Não,Premium
67,35358,23,Não,Premium
49,119713,16,Sim,Regular
64,114914,15,Sim,Regular
39,96918,21,Sim,Regular
40,34596,28,Não,Regular
19,53572,15,Sim,Regular
44,98757,25,Sim,Regular
59,21279,4,Não,Premium
19,83197,11,Não,Regular
43,82516,19,Não,Premium
34,27083,15,Não,Premium
57,37771,4,Não,Regular
50,49975,21,Sim,Premium
26,65648,13,Não,Regular
60,68285,22,Sim,Regular
65,39063,19,Sim,Premium
56,87642,2,Não,Premium
46,110093,14,Não,Regular
59,106143,29,Não,Regular
43,57599,4,Sim,Premium
52,71920,16,Não,Premium
67,48529,21,Não,Premium
42,55954,20,Não,Premium
41,47856,14,Não,Regular
30,22573,27,Não,Regular
24,98344,29,Sim,Regular
53,55367,15,Sim,Regular
62,119608,28,Sim,Premium
37,80774,3,Não,Premium
18,43752,8,Não,Regular
25,75029,16,Não,Regular
63,37685,10,Sim,Regular
33,71693,4,Não,Regular
31,75961,18,Não,Regular
29,96908,2,Não,Regular
68,94532,17,Sim,Regular
40,101994,13,Não,Regular
32,76133,4,Sim,Regular
45,117425,26,Não,Premium
51,81268,25,Sim,Regular
19,112201,11,Sim,Premium
49,58243,7,Sim,Premium
40,77384,12,Não,Regular
39,51653,10,Não,Regular
68,46657,7,Sim,Premium
42,59952,13,Sim,Premium
39,42180,7,Não,Regular
39,117432,24,Não,Premium
66,98411,17,Sim,Regular
69,21622,10,Não,Regular
59,68756,29,Não,Regular
23,60809,10,Não,Premium
32,36725,24,Não,Premium
60,81396,4,Sim,Regular
54,71226,20,Não,Premium
50,101182,4,Não,Premium
25,102565,22,Sim,Premium
61,49402,7,Sim,Premium
61,24263,22,Não,Premium
22,116523,1,Não,Premium
56,66828,12,Não,Premium
21,67924,24,Não,Regular
23,94182,13,Sim,Premium
62,113065,10,Sim,Premium
49,79052,15,Sim,Premium
69,31664,27,Não,Premium
47,55737,13,Não,Premium
64,109563,23,Não,Premium
52,49373,22,Não,Premium
57,56397,22,Sim,Premium
69,106145,21,Sim,Regular
33,58709,22,Não,Premium
30,81120,28,Sim,Premium
67,39250,9,Não,Premium
59,41172,26,Não,Premium
47,31555,9,Sim,Regular
36,107410,15,Não,Regular
34,98617,10,Não,Regular
36,73276,24,Sim,Regular
45,77492,26,Não,Regular
43,73002,25,Não,Regular
54,109599,29,Sim,Regular
43,92355,10,Não,Regular
40,111248,8,Sim,Regular
26,44762,24,Não,Regular
29,31046,16,Sim,Regular
18,116999,17,Sim,Regular
18,48769,26,Sim,Regular
64,73302,27,Não,Regular
51,43150,5,Sim,Regular
49,88247,4,Sim,Regular
65,24853,18,Sim,Premium
42,114613,24,Sim,Regular
57,109399,19,Sim,Premium
62,41792,4,Não,Regular
18,79129,28,Não,Regular
33,94478,7,Não,Premium
56,87298,10,Não,Regular
22,51987,25,Não,Premium
39,35850,18,Não,Premium
46,32112,19,Não,Premium
20,44058,4,Sim,Regular
29,65420,10,Não,Regular
43,58890,1,Sim,Regular
33,86017,23,Sim,Premium
68,67304,18,Não,Premium
54,52921,5,Sim,Regular
39,21524,15,Sim,Regular
46,35048,17,Sim,Regular
31,55111,3,Sim,Regular
45,57904,12,Não,Regular
22,74912,2,Não,Premium
64,54008,1,Não,Premium
66,20060,23,Não,Premium
47,94666,21,Não,Regular
63,103559,17,Não,Premium
69,75337,22,Não,Premium
22,33350,16,Não,Premium
29,44354,5,Não,Premium
33,65186,15,Não,Premium
43,48145,3,Sim,Regular
43,54020,28,Não,Premium
65,106123,7,Sim,Regular
38,95186,11,Sim,Regular
56,105469,10,Sim,Regular
53,40581,9,Sim,Regular
50,108929,14,Não,Regular
47,43051,13,Sim,Premium
54,71474,29,Não,Premium
40,111748,25,Não,Regular
27,89626,25,Sim,Regular
22,26960,2,Não,Regular
53,55772,3,Sim,Premium
51,41520,7,Sim,Regular
69,69481,21,Não,Premium
48,56408,18,Não,Regular
27,114006,3,Sim,Premium
36,77134,10,Não,Regular
49,40491,22,Não,Premium
18,21341,29,Não,Regular
22,64623,7,Sim,Premium
62,110327,9,Sim,Premium
21,20338,17,Não,Premium
33,91431,11,Não,Premium
41,32254,7,Não,Premium
33,71860,24,Não,Premium
19,31344,28,Não,Premium
66,21750,14,Sim,Regular
45,74756,19,Não,Regular
49,87957,4,Sim,Regular
44,78053,26,Não,Regular
37,90855,6,Sim,Regular
41,35896,10,Não,Premium
29,75761,7,Sim,Premium
67,82552,13,Não,Premium
52,97454,14,Sim,Premium
50,110600,4,Sim,Premium
50,47935,8,Sim,Regular
68,57641,5,Sim,Regular
60,49711,1,Sim,Regular
54,90342,4,Sim,Regular
29,32182,3,Não,Premium
20,107833,9,Sim,Premium
18,76276,8,Não,Premium
50,39541,1,Não,Regular
57,114457,27,Não,Premium
27,102310,6,Não,Regular
60,64813,9,Não,Premium
61,57198,7,Sim,Premium
46,28820,4,Sim,Regular
30,44070,13,Sim,Premium
29,89768,17,Não,Premium
48,31122,28,Sim,Regular
63,100559,2,Sim,Premium
19,93543,28,Sim,Regular
68,103441,5,Sim,Premium
67,61786,12,Sim,Premium
52,114934,27,Não,Premium
40,119804,21,Sim,Premium
34,26737,8,Não,Premium
43,56062,6,Não,Premium
25,74237,8,Não,Premium
46,71571,18,Não,Premium
43,45510,3,Não,Regular
27,39426,22,Sim,Regular
43,57265,12,Sim,Premium
51,37850,29,Sim,Premium
68,86150,26,Não,Regular
58,107312,3,Sim,Premium
24,109613,22,Sim,Premium
21,94910,6,Não,Regular
67,72375,2,Não,Premium
62,55435,23,Não,Premium
28,116443,12,Não,Regular
46,77132,2,Sim,Premium
53,98945,6,Não,Premium
42,102050,17,Não,Regular
38,115402,3,Sim,Premium
53,22983,2,Sim,Regular
27,117241,23,Não,Premium
54,40662,20,Sim,Premium
26,43510,8,Não,Regular
41,98187,22,Não,Regular
52,60998,12,Sim,Premium
66,76846,26,Sim,Regular
52,114071,4,Não,Regular
65,26640,5,Não,Premium
53,64547,13,Não,Premium
35,74620,29,Sim,Premium
66,35317,15,Não,Regular
56,27564,25,Não,Regular
49,47345,23,Não,Regular
41,114223,16,Não,Regular
40,99273,10,Não,Premium
49,94859,25,Sim,Regular
54,100765,23,Não,Premium
29,94038,16,Não,Regular
66,72393,12,Não,Premium
30,86081,17,Não,Premium
40,49430,16,Sim,Premium
42,95532,12,Sim,Regular
52,47788,8,Sim,Premium
58,115505,20,Não,Premium
47,68543,3,Não,Regular
34,33919,16,Sim,Premium
66,89346,13,Sim,Regular
37,116122,23,Sim,Regular
65,59974,28,Não,Premium
42,36371,19,Não,Premium
39,65084,8,Sim,Regular
30,49629,22,Sim,Premium
36,71184,5,Sim,Regular
66,81916,20,Não,Regular
53,93972,8,Não,Regular
29,82187,24,Não,Premium
58,32984,12,Sim,Regular
36,53039,1,Sim,Premium
29,105431,25,Não,Premium
26,103691,21,Sim,Premium
24,78606,20,Não,Premium
45,30616,6,Sim,Regular
31,70072,22,Sim,Premium
48,44574,18,Sim,Regular
69,23430,8,Sim,Regular
36,32676,7,Não,Premium
64,30816,1,Sim,Regular
33,52733,21,Não,Regular
22,105680,16,Não,Premium
52,22050,12,Não,Regular
29,53933,6,Sim,Regular
42,44951,20,Não,Regular
69,52413,2,Não,Regular
38,54801,29,Não,Premium
53,75619,14,Sim,Regular
40,52913,4,Sim,Regular
33,60600,1,Não,Regular
56,77775,23,Sim,Regular
62,110816,18,Não,Premium
59,110093,13,Não,Regular
56,55400,2,Sim,Premium
31,24494,9,Não,Regular
48,100688,21,Sim,Premium
22,109431,2,Sim,Premium
52,94691,27,Não,Premium
40,117419,25,Sim,Premium
46,63001,9,Sim,Premium
60,87364,1,Não,Regular
28,65028,11,Não,Regular
35,117659,3,Sim,Regular
64,57573,20,Sim,Premium
29,20806,23,Não,Regular
26,76638,26,Sim,Premium
27,49757,4,Sim,Premium
61,54636,18,Sim,Regular
34,100097,23,Sim,Regular
55,68280,6,Sim,Premium
24,44262,3,Sim,Premium
63,100435,22,Sim,Regular
30,82211,11,Não,Regular
57,74842,15,Não,Regular
59,76979,22,Não,Regular
26,101470,28,Não,Premium
67,58197,5,Não,Regular
44,61844,20,Sim,Regular
19,84754,10,Sim,Regular
22,54157,12,Sim,Premium
46,97129,15,Sim,Premium
54,60042,17,Não,Premium
55,81665,10,Sim,Premium
36,102856,6,Sim,Regular
25,47376,18,Não,Premium
65,75554,13,Sim,Regular
62,34199,3,Sim,Regular
18,101412,24,Não,Regular
39,70948,10,Sim,Regular
69,93781,14,Sim,Premium
34,92750,6,Sim,Premium
24,86262,3,Sim,Premium
42,66600,16,Sim,Regular
62,96898,7,Não,Regular
21,82483,20,Não,Regular
53,38297,14,Não,Regular
23,50448,9,Não,Regular
48,46172,15,Não,Premium
36,62874,21,Não,Regular
61,27657,3,Sim,Premium
56,104386,2,Não,Regular
44,45425,27,Não,Regular
27,46685,2,Sim,Premium
43,44578,3,Sim,Premium
36,48831,18,Não,Regular
56,27906,14,Sim,Regular
20,81413,20,Não,Regular
62,74028,18,Sim,Regular
30,27287,10,Não,Premium
67,53660,25,Sim,Regular
45,95758,2,Sim,Premium
37,80504,25,Não,Regular
45,79720,29,Não,Premium
25,54701,22,Não,Premium
58,103300,1,Não,Regular
56,37674,4,Não,Premium
18,103560,14,Sim,Regular
20,43874,1,Não,Premium
30,63642,14,Não,Regular
45,117820,16,Sim,Premium
66,85160,22,Sim,Regular
42,37602,14,Não,Regular
50,108801,29,Sim,Premium
55,45931,20,Sim,Premium
23,114377,3,Não,Premium
61,49192,3,Sim,Premium
62,66542,9,Sim,Regular
49,62520,6,Não,Premium
62,84772,25,Não,Regular
64,78762,13,Sim,Premium
38,70106,21,Sim,Regular
33,101121,2,Não,Regular
38,45559,8,Sim,Regular
28,53742,21,Sim,Regular
54,89669,2,Sim,Premium
53,100199,4,Não,Premium
52,41754,25,Sim,Regular
36,23972,15,Sim,Premium
37,90831,4,Não,Premium
35,61873,13,Sim,Regular
64,114661,28,Sim,Premium
58,29903,12,Não,Premium
66,23020,28,Não,Premium
31,61755,13,Não,Regular
32,105956,14,Não,Premium
48,106988,20,Sim,Regular
18,65648,18,Sim,Premium
20,29516,29,Não,Premium
33,22396,28,Não,Premium
40,104082,6,Sim,Regular
28,39129,29,Não,Regular
29,21591,11,Sim,Premium
27,31303,2,Não,Regular
49,50561,28,Sim,Premium
33,91719,23,Não,Regular
25,112108,19,Não,Regular
55,119616,19,Sim,Premium
29,106231,5,Não,Premium
41,27314,19,Sim,Premium
45,39623,2,Sim,Premium
25,87675,10,Sim,Regular
45,116826,25,Sim,Regular
53,85082,2,Sim,Regular
43,103624,11,Não,Premium
25,53130,18,Não,Premium
67,71756,29,Sim,Regular
45,117624,24,Não,Premium
45,46292,15,Sim,Regular
54,106206,9,Não,Regular
58,89274,23,Não,Regular
53,22469,19,Não,Regular
44,73947,9,Não,Regular
34,42534,3,Sim,Premium
26,83620,21,Sim,Premium
50,68874,9,Não,Premium
37,69708,28,Não,Regular
30,94553,14,Sim,Regular
45,88344,19,Não,Regular
65,69138,7,Sim,Regular
46,74302,16,Sim,Premium
30,67638,16,Sim,Premium
63,98249,28,Não,Regular
52,22719,1,Sim,Regular
23,42890,4,Não,Regular
35,97236,4,Sim,Premium
68,56509,7,Não,Premium
22,62534,8,Não,Premium
64,112241,17,Não,Regular
42,38787,5,Sim,Regular
19,68845,7,Sim,Premium
27,77932,28,Não,Regular
47,112124,20,Não,Premium
67,111659,29,Não,Regular
62,53062,20,Sim,Premium
22,95713,4,Sim,Regular
50,107263,28,Sim,Premium
18,115756,6,Sim,Premium
35,80461,7,Não,Premium
49,95418,18,Não,Premium
64,86672,5,Sim,Premium
66,54832,20,Sim,Premium
28,51966,29,Não,Regular
38,92545,3,Sim,Regular
43,32987,7,Sim,Regular
42,57311,27,Sim,Premium
39,51575,28,Sim,Premium
44,83852,22,Sim,Regular
66,21007,14,Sim,Premium
30,90981,7,Não,Premium
50,96242,5,Sim,Premium
51,67517,29,Sim,Premium
58,49257,22,Não,Premium
52,107272,5,Não,Regular
18,62207,23,Não,Regular
38,33281,2,Sim,Regular
65,81246,27,Não,Regular
23,21435,21,Sim,Regular
45,118875,22,Sim,Premium
34,111357,6,Sim,Premium
22,46660,15,Não,Premium
48,25084,21,Não,Premium
22,102197,10,Não,Regular
55,33507,23,Não,Regular
20,92595,26,Não,Regular
40,103807,24,Sim,Premium
54,65539,7,Sim,Regular
54,27491,5,Sim,Premium
27,70192,1,Sim,Regular
27,100395,13,Não,Regular
36,83888,21,Não,Premium
34,93609,26,Sim,Premium
38,29077,18,Não,Regular
31,40953,13,Não,Regular
26,96919,21,Sim,Premium
63,87889,21,Sim,Regular
18,43821,18,Não,Regular
68,57567,5,Não,Premium
62,44860,13,Sim,Regular
30,41195,4,Sim,Premium
21,97475,17,Sim,Regular
18,110874,3,Não,Premium
66,107266,17,Sim,Regular
57,41427,28,Sim,Premium
49,47083,11,Não,Regular
51,107046,21,Não,Premium
45,77372,20,Não,Regular
48,64064,23,Não,Regular
25,27813,21,Não,Regular
56,51598,26,Sim,Regular
43,113106,4,Sim,Regular
51,47082,2,Não,Regular
20,49241,20,Não,Regular
67,116214,16,Não,Regular
29,64569,28,Não,Regular
18,31745,18,Não,Premium
61,46029,8,Sim,Premium
22,33025,3,Sim,Regular
47,34288,9,Sim,Premium
47,109186,29,Sim,Regular
34,26540,20,Não,Regular
65,117768,29,Sim,Premium
64,101958,6,Não,Regular
40,88878,10,Não,Regular
32,61846,21,Não,Premium
54,95932,10,Sim,Premium
38,37482,13,Não,Regular
31,43411,17,Sim,Premium
19,70975,9,Sim,Premium
28,80545,17,Não,Regular
68,98797,24,Não,Premium
56,72307,9,Não,Premium
55,23093,9,Sim,Regular
51,97258,1,Não,Premium
55,42042,2,Sim,Premium
67,72930,28,Não,Regular
51,64413,16,Não,Regular
35,113623,29,Sim,Regular
47,117883,1,Sim,Premium
32,53756,10,Sim,Regular
44,73268,18,Sim,Regular
68,59214,26,Sim,Premium
51,101871,28,Sim,Regular
69,48602,8,Não,Regular
55,73331,21,Não,Regular
50,68901,28,Sim,Regular
41,119986,11,Não,Premium
32,83416,23,Sim,Regular
47,52196,2,Não,Regular
59,25626,8,Não,Premium
68,27424,27,Sim,Regular
34,32857,22,Sim,Premium
22,39982,8,Sim,Premium
46,96961,17,Não,Premium
21,21980,15,Sim,Regular
27,68290,17,Não,Premium
34,46431,28,Sim,Premium
27,104976,23,Não,Premium
34,102711,24,Não,Regular
37,46385,13,Sim,Regular
41,58158,19,Não,Regular
22,43019,5,Não,Regular
51,38639,12,Sim,Regular
23,105530,1,Não,Regular
19,119911,23,Sim,Regular
30,41563,5,Sim,Premium
60,59341,8,Sim,Premium
60,25776,13,Sim,Premium
65,56444,8,Não,Premium
28,88916,25,Não,Regular
68,28711,23,Não,Premium
64,94318,11,Sim,Premium
40,102970,1,Não,Premium
33,105553,13,Não,Premium
48,50707,19,Sim,Regular
28,59110,24,Sim,Regular
33,81788,3,Não,Regular
25,102879,24,Sim,Premium
21,58827,17,Sim,Regular
57,25655,5,Sim,Premium
21,64859,20,Sim,Regular
42,73625,21,Não,Regular
20,72098,8,Sim,Regular
49,35251,26,Sim,Regular
20,20526,14,Sim,Regular
44,88760,4,Sim,Premium
46,67837,11,Sim,Regular
49,31536,20,Sim,Premium
67,48541,15,Sim,Premium
68,99083,19,Sim,Premium
36,71027,7,Não,Premium
38,54531,19,Sim,Premium
22,28712,28,Não,Regular
35,85455,19,Sim,Regular
45,94744,11,Sim,Regular
59,25109,26,Sim,Regular
39,69268,5,Sim,Premium
38,74615,5,Não,Regular
23,102503,22,Sim,Regular
18,49759,8,Sim,Premium
22,105708,10,Não,Premium
58,80112,6,Não,Regular
29,46589,15,Sim,Regular
43,50015,16,Não,Premium
63,49009,28,Não,Regular
51,103309,17,Não,Regular
66,82046,8,Sim,Regular
31,46143,8,Sim,Regular
43,26154,25,Sim,Premium
62,41804,9,Não,Premium
44,61688,2,Sim,Premium
26,84288,15,Não,Regular
